RefereeID,Standard referee name
1,A Madley
2,A Marriner
3,A Taylor
4,A Wiley
5,C Foy
6,C Kavanagh
7,C Pawson
8,D Coote
9,D England
10,G Scott
11,H Webb
12,J Moss
13,Jj Moss
14,K Friend
15,K Stroud
16,L Mason
17,L Probert
18,M Atkinson
19,M Clattenburg
20,M Dean
21,M Halsey
22,M Jones
23,M Oliver
24,M Riley
25,Mn Atkinson
26,N Swarbrick
27,O Langford
28,P Bankes
29,P Dowd
30,P Tierney
31,P Walton
32,R East
33,R Jones
34,R Madley
35,R Styles
36,Referee
37,S Attwell
38,S Bennett
39,S Hooper
40,S Scott
41,S Tanner
42,St Bennett
43,T Robinson
44,l Mason
